title,description,diet_tags
Oatmeal with banana & whey,"Rolled oats, milk, banana, whey protein",balanced
النظام	المرحلة	نوع الوجبة	اسم الوجبة	مكون	كمية (جم)	سعرات حرارية	بروتين (جم)	كربوهيدرات (جم)	دهون (جم)
تنشيف	50	غداء	أرز بسمتي - غداء - تنشيف مرحلة 50	أرز بسمتي	156.4	563.2	9.4	125.2	1.6
تنشيف	50	عشاء	سلطة خضراء - عشاء - تنشيف مرحلة 50	سلطة خضراء	104.3	20.9	1	4.2	0
تنشيف	50	وجبة إضافية	مكسرات (لوز) - وجبة إضافية - تنشيف مرحلة 50	مكسرات (لوز)	31.3	181.5	6.3	6.3	15.6
تنشيف	51	فطار	بيض مسلوق - فطار - تنشيف مرحلة 51	بيض مسلوق	105	162.7	13.6	1.2	11.5
تنشيف	51	غداء	صدر دجاج مشوي - غداء - تنشيف مرحلة 51	صدر دجاج مشوي	157.5	259.3	48.3	0	5.2
تنشيف	51	عشاء	سمك مشوي - عشاء - تنشيف مرحلة 51	سمك مشوي	157.5	243.6	26.2	0	14.7
تنشيف	51	وجبة إضافية	لبن زبادي قليل الدسم - وجبة إضافية - تنشيف مرحلة 51	لبن زبادي قليل الدسم	210	105	10.5	12.6	0.5
تنشيف	52	فطار	شوفان - فطار - تنشيف مرحلة 52	شوفان	42.3	158.5	5.3	28.5	3.2
تنشيف	52	غداء	أرز بسمتي - غداء - تنشيف مرحلة 52	أرز بسمتي	158.5	570.8	9.5	126.8	1.6
تنشيف	52	عشاء	سلطة خضراء - عشاء - تنشيف مرحلة 52	سلطة خضراء	105.7	21.1	1.1	4.2	0
تنشيف	52	وجبة إضافية	مكسرات (لوز) - وجبة إضافية - تنشيف مرحلة 52	مكسرات (لوز)	31.7	183.9	6.3	6.3	15.9
تنشيف	53	فطار	بيض مسلوق - فطار - تنشيف مرحلة 53	بيض مسلوق	106.4	164.9	13.8	1.2	11.7
تنشيف	53	غداء	صدر دجاج مشوي - غداء - تنشيف مرحلة 53	صدر دجاج مشوي	159.6	262.8	48.9	0	5.3
تنشيف	53	عشاء	سمك مشوي - عشاء - تنشيف مرحلة 53	سمك مشوي	159.6	246.8	26.6	0	14.9
تنشيف	53	وجبة إضافية	لبن زبادي قليل الدسم - وجبة إضافية - تنشيف مرحلة 53	لبن زبادي قليل الدسم	212.8	106.4	10.6	12.8	0.5
تنشيف	54	فطار	شوفان - فطار - تنشيف مرحلة 54	شوفان	42.8	160.7	5.4	28.9	3.2
تنشيف	54	غداء	أرز بسمتي - غداء - تنشيف مرحلة 54	أرز بسمتي	160.7	578.3	9.6	128.5	1.6
تنشيف	54	عشاء	سلطة خضراء - عشاء - تنشيف مرحلة 54	سلطة خضراء	107.1	21.4	1.1	4.3	0
تنشيف	54	وجبة إضافية	مكسرات (لوز) - وجبة إضافية - تنشيف مرحلة 54	مكسرات (لوز)	32.1	186.4	6.4	6.4	16.1
تنشيف	55	فطار	بيض مسلوق - فطار - تنشيف مرحلة 55	بيض مسلوق	107.8	167.1	14	1.2	11.9
تنشيف	55	غداء	صدر دجاج مشوي - غداء - تنشيف مرحلة 55	صدر دجاج مشوي	161.7	266.3	49.6	0	5.4
تنشيف	55	عشاء	سمك مشوي - عشاء - تنشيف مرحلة 55	سمك مشوي	161.7	250.1	26.9	0	15.1
تنشيف	55	وجبة إضافية	لبن زبادي قليل الدسم - وجبة إضافية - تنشيف مرحلة 55	لبن زبادي قليل الدسم	215.6	107.8	10.8	12.9	0.5
تنشيف	56	فطار	شوفان - فطار - تنشيف مرحلة 56	شوفان	43.4	162.8	5.4	29.3	3.3
تنشيف	56	غداء	أرز بسمتي - غداء - تنشيف مرحلة 56	أرز بسمتي	162.8	585.9	9.8	130.2	1.6
تنشيف	56	عشاء	سلطة خضراء - عشاء - تنشيف مرحلة 56	سلطة خضراء	108.5	21.7	1.1	4.3	0
تنشيف	56	وجبة إضافية	مكسرات (لوز) - وجبة إضافية - تنشيف مرحلة 56	مكسرات (لوز)	32.5	188.8	6.5	6.5	16.3
تنشيف	57	فطار	بيض مسلوق - فطار - تنشيف مرحلة 57	بيض مسلوق	109.2	169.3	14.2	1.2	12
تنشيف	57	غداء	صدر دجاج مشوي - غداء - تنشيف مرحلة 57	صدر دجاج مشوي	163.8	269.7	50.2	0	5.5
تنشيف	57	عشاء	سمك مشوي - عشاء - تنشيف مرحلة 57	سمك مشوي	163.8	253.3	27.3	0	15.3
تنشيف	57	وجبة إضافية	لبن زبادي قليل الدسم - وجبة إضافية - تنشيف مرحلة 57	لبن زبادي قليل الدسم	218.4	109.2	10.9	13.1	0.5
تنشيف	58	فطار	شوفان - فطار - تنشيف مرحلة 58	شوفان	44	164.8	5.5	29.7	3.3
تنشيف	58	غداء	أرز بسمتي - غداء - تنشيف مرحلة 58	أرز بسمتي	164.8	593.5	9.9	131.9	1.6
تنشيف	58	عشاء	سلطة خضراء - عشاء - تنشيف مرحلة 58	سلطة خضراء	109.9	22	1.1	4.4	0
تنشيف	58	وجبة إضافية	مكسرات (لوز) - وجبة إضافية - تنشيف مرحلة 58	مكسرات (لوز)	33	191.2	6.6	6.6	16.5
تنشيف	59	فطار	بيض مسلوق - فطار - تنشيف مرحلة 59	بيض مسلوق	110.6	171.4	14.4	1.2	12.2
تنشيف	59	غداء	صدر دجاج مشوي - غداء - تنشيف مرحلة 59	صدر دجاج مشوي	165.9	273.2	50.9	0	5.5
تنشيف	59	عشاء	سمك مشوي - عشاء - تنشيف مرحلة 59	سمك مشوي	165.9	256.6	27.6	0	15.5
تنشيف	59	وجبة إضافية	لبن زبادي قليل الدسم - وجبة إضافية - تنشيف مرحلة 59	لبن زبادي قليل الدسم	221.2	110.6	11.1	13.3	0.6
تنشيف	60	فطار	شوفان - فطار - تنشيف مرحلة 60	شوفان	44.5	166.9	5.6	30.1	3.3
تنشيف	60	غداء	أرز بسمتي - غداء - تنشيف مرحلة 60	أرز بسمتي	166.9	601	10	133.6	1.7
تنشيف	60	عشاء	سلطة خضراء - عشاء - تنشيف مرحلة 60	سلطة خضراء	111.3	22.3	1.1	4.5	0
تنشيف	60	وجبة إضافية	مكسرات (لوز) - وجبة إضافية - تنشيف مرحلة 60	مكسرات (لوز)	33.4	193.7	6.7	6.7	16.7
تنشيف	61	فطار	بيض مسلوق - فطار - تنشيف مرحلة 61	بيض مسلوق	112	173.6	14.6	1.2	12.3
تنشيف	61	غداء	صدر دجاج مشوي - غداء - تنشيف مرحلة 61	صدر دجاج مشوي	168	276.6	51.5	0	5.6
تنشيف	61	عشاء	سمك مشوي - عشاء - تنشيف مرحلة 61	سمك مشوي	168	259.8	28	0	15.7
تنشيف	61	وجبة إضافية	لبن زبادي قليل الدسم - وجبة إضافية - تنشيف مرحلة 61	لبن زبادي قليل الدسم	224	112	11.2	13.4	0.6
تنشيف	62	فطار	شوفان - فطار - تنشيف مرحلة 62	شوفان	45.1	169	5.6	30.4	3.4
تنشيف	62	غداء	أرز بسمتي - غداء - تنشيف مرحلة 62	أرز بسمتي	169	608.6	10.1	135.2	1.7
تنشيف	62	عشاء	سلطة خضراء - عشاء - تنشيف مرحلة 62	سلطة خضراء	112.7	22.5	1.1	4.5	0
تنشيف	62	وجبة إضافية	مكسرات (لوز) - وجبة إضافية - تنشيف مرحلة 62	مكسرات (لوز)	33.8	196.1	6.8	6.8	16.9
تنشيف	63	فطار	بيض مسلوق - فطار - تنشيف مرحلة 63	بيض مسلوق	113.4	175.8	14.7	1.2	12.5
تنشيف	63	غداء	صدر دجاج مشوي - غداء - تنشيف مرحلة 63	صدر دجاج مشوي	170.1	280.1	52.2	0	5.7
تنشيف	63	عشاء	سمك مشوي - عشاء - تنشيف مرحلة 63	سمك مشوي	170.1	263.1	28.3	0	15.9
تنشيف	63	وجبة إضافية	لبن زبادي قليل الدسم - وجبة إضافية - تنشيف مرحلة 63	لبن زبادي قليل الدسم	226.8	113.4	11.3	13.6	0.6
تنشيف	64	فطار	شوفان - فطار - تنشيف مرحلة 64	شوفان	45.6	171.1	5.7	30.8	3.4
تنشيف	64	غداء	أرز بسمتي - غداء - تنشيف مرحلة 64	أرز بسمتي	171.1	616.1	10.3	136.9	1.7
تنشيف	64	عشاء	سلطة خضراء - عشاء - تنشيف مرحلة 64	سلطة خضراء	114.1	22.8	1.1	4.6	0
تنشيف	64	وجبة إضافية	مكسرات (لوز) - وجبة إضافية - تنشيف مرحلة 64	مكسرات (لوز)	34.2	198.5	6.8	6.8	17.1
تنشيف	65	فطار	بيض مسلوق - فطار - تنشيف مرحلة 65	بيض مسلوق	114.8	177.9	14.9	1.3	12.6
تنشيف	65	غداء	صدر دجاج مشوي - غداء - تنشيف مرحلة 65	صدر دجاج مشوي	172.2	283.6	52.8	0	5.7
تنشيف	65	عشاء	سمك مشوي - عشاء - تنشيف مرحلة 65	سمك مشوي	172.2	266.3	28.7	0	16.1
تنشيف	65	وجبة إضافية	لبن زبادي قليل الدسم - وجبة إضافية - تنشيف مرحلة 65	لبن زبادي قليل الدسم	229.6	114.8	11.5	13.8	0.6
تنشيف	66	فطار	شوفان - فطار - تنشيف مرحلة 66	شوفان	46.2	173.2	5.8	31.2	3.5
تنشيف	66	غداء	أرز بسمتي - غداء - تنشيف مرحلة 66	أرز بسمتي	173.2	623.7	10.4	138.6	1.7
تنشيف	66	عشاء	سلطة خضراء - عشاء - تنشيف مرحلة 66	سلطة خضراء	115.5	23.1	1.2	4.6	0
تنشيف	66	وجبة إضافية	مكسرات (لوز) - وجبة إضافية - تنشيف مرحلة 66	مكسرات (لوز)	34.6	201	6.9	6.9	17.3
تنشيف	67	فطار	بيض مسلوق - فطار - تنشيف مرحلة 67	بيض مسلوق	116.2	180.1	15.1	1.3	12.8
تنشيف	67	غداء	صدر دجاج مشوي - غداء - تنشيف مرحلة 67	صدر دجاج مشوي	174.3	287	53.5	0	5.8
تنشيف	67	عشاء	سمك مشوي - عشاء - تنشيف مرحلة 67	سمك مشوي	174.3	269.6	29	0	16.3
تنشيف	67	وجبة إضافية	لبن زبادي قليل الدسم - وجبة إضافية - تنشيف مرحلة 67	لبن زبادي قليل الدسم	232.4	116.2	11.6	13.9	0.6
تنشيف	68	فطار	شوفان - فطار - تنشيف مرحلة 68	شوفان	46.8	175.3	5.8	31.6	3.5
تنشيف	68	غداء	أرز بسمتي - غداء - تنشيف مرحلة 68	أرز بسمتي	175.3	631.3	10.5	140.3	1.8
تنشيف	68	عشاء	سلطة خضراء - عشاء - تنشيف مرحلة 68	سلطة خضراء	116.9	23.4	1.2	4.7	0
تنشيف	68	وجبة إضافية	مكسرات (لوز) - وجبة إضافية - تنشيف مرحلة 68	مكسرات (لوز)	35.1	203.4	7	7	17.5
تنشيف	69	فطار	بيض مسلوق - فطار - تنشيف مرحلة 69	بيض مسلوق	117.6	182.3	15.3	1.3	12.9
تنشيف	69	غداء	صدر دجاج مشوي - غداء - تنشيف مرحلة 69	صدر دجاج مشوي	176.4	290.5	54.1	0	5.9
تنشيف	69	عشاء	سمك مشوي - عشاء - تنشيف مرحلة 69	سمك مشوي	176.4	272.8	29.4	0	16.5
تنشيف	69	وجبة إضافية	لبن زبادي قليل الدسم - وجبة إضافية - تنشيف مرحلة 69	لبن زبادي قليل الدسم	235.2	117.6	11.8	14.1	0.6
تنشيف	70	فطار	شوفان - فطار - تنشيف مرحلة 70	شوفان	47.3	177.4	5.9	31.9	3.5
تنشيف	70	غداء	أرز بسمتي - غداء - تنشيف مرحلة 70	أرز بسمتي	177.4	638.8	10.6	142	1.8
تنشيف	70	عشاء	سلطة خضراء - عشاء - تنشيف مرحلة 70	سلطة خضراء	118.3	23.7	1.2	4.7	0
تنشيف	70	وجبة إضافية	مكسرات (لوز) - وجبة إضافية - تنشيف مرحلة 70	مكسرات (لوز)	35.5	205.8	7.1	7.1	17.7
تنشيف	71	فطار	بيض مسلوق - فطار - تنشيف مرحلة 71	بيض مسلوق	119	184.4	15.5	1.3	13.1
تنشيف	71	غداء	صدر دجاج مشوي - غداء - تنشيف مرحلة 71	صدر دجاج مشوي	178.5	293.9	54.7	0	5.9
تنشيف	71	عشاء	سمك مشوي - عشاء - تنشيف مرحلة 71	سمك مشوي	178.5	276.1	29.8	0	16.7
تنشيف	71	وجبة إضافية	لبن زبادي قليل الدسم - وجبة إضافية - تنشيف مرحلة 71	لبن زبادي قليل الدسم	238	119	11.9	14.3	0.6
تنشيف	72	فطار	شوفان - فطار - تنشيف مرحلة 72	شوفان	47.9	179.5	6	32.3	3.6
تنشيف	72	غداء	أرز بسمتي - غداء - تنشيف مرحلة 72	أرز بسمتي	179.5	646.4	10.8	143.6	1.8
تنشيف	72	عشاء	سلطة خضراء - عشاء - تنشيف مرحلة 72	سلطة خضراء	119.7	23.9	1.2	4.8	0
تنشيف	72	وجبة إضافية	مكسرات (لوز) - وجبة إضافية - تنشيف مرحلة 72	مكسرات (لوز)	35.9	208.3	7.2	7.2	18
تنشيف	73	فطار	بيض مسلوق - فطار - تنشيف مرحلة 73	بيض مسلوق	120.4	186.6	15.7	1.3	13.2
تنشيف	73	غداء	صدر دجاج مشوي - غداء - تنشيف مرحلة 73	صدر دجاج مشوي	180.6	297.4	55.4	0	6
تنشيف	73	عشاء	سمك مشوي - عشاء - تنشيف مرحلة 73	سمك مشوي	180.6	279.3	30.1	0	16.9
تنشيف	73	وجبة إضافية	لبن زبادي قليل الدسم - وجبة إضافية - تنشيف مرحلة 73	لبن زبادي قليل الدسم	240.8	120.4	12	14.4	0.6
تنشيف	74	فطار	شوفان - فطار - تنشيف مرحلة 74	شوفان	48.4	181.6	6.1	32.7	3.6
تنشيف	74	غداء	أرز بسمتي - غداء - تنشيف مرحلة 74	أرز بسمتي	181.6	653.9	10.9	145.3	1.8
تنشيف	74	عشاء	سلطة خضراء - عشاء - تنشيف مرحلة 74	سلطة خضراء	121.1	24.2	1.2	4.8	0
تنشيف	74	وجبة إضافية	مكسرات (لوز) - وجبة إضافية - تنشيف مرحلة 74	مكسرات (لوز)	36.3	210.7	7.3	7.3	18.2
تنشيف	75	فطار	بيض مسلوق - فطار - تنشيف مرحلة 75	بيض مسلوق	121.8	188.8	15.8	1.3	13.4
تنشيف	75	غداء	صدر دجاج مشوي - غداء - تنشيف مرحلة 75	صدر دجاج مشوي	182.7	300.8	56	0	6.1
تنشيف	75	عشاء	سمك مشوي - عشاء - تنشيف مرحلة 75	سمك مشوي	182.7	282.6	30.4	0	17.1
تنشيف	75	وجبة إضافية	لبن زبادي قليل الدسم - وجبة إضافية - تنشيف مرحلة 75	لبن زبادي قليل الدسم	243.6	121.8	12.2	14.6	0.6
تنشيف	76	فطار	شوفان - فطار - تنشيف مرحلة 76	شوفان	49	183.7	6.1	33.1	3.7
تنشيف	76	غداء	أرز بسمتي - غداء - تنشيف مرحلة 76	أرز بسمتي	183.7	661.5	11	147	1.8
تنشيف	76	عشاء	سلطة خضراء - عشاء - تنشيف مرحلة 76	سلطة خضراء	122.5	24.5	1.2	4.9	0
تنشيف	76	وجبة إضافية	مكسرات (لوز) - وجبة إضافية - تنشيف مرحلة 76	مكسرات (لوز)	36.7	213.1	7.3	7.3	18.4
تنشيف	77	فطار	بيض مسلوق - فطار - تنشيف مرحلة 77	بيض مسلوق	123.2	191	16	1.4	13.6
تنشيف	77	غداء	صدر دجاج مشوي - غداء - تنشيف مرحلة 77	صدر دجاج مشوي	184.8	304.3	56.7	0	6.2
تنشيف	77	عشاء	سمك مشوي - عشاء - تنشيف مرحلة 77	سمك مشوي	184.8	285.8	30.8	0	17.2
تنشيف	77	وجبة إضافية	لبن زبادي قليل الدسم - وجبة إضافية - تنشيف مرحلة 77	لبن زبادي قليل الدسم	246.4	123.2	12.3	14.8	0.6
تنشيف	78	فطار	شوفان - فطار - تنشيف مرحلة 78	شوفان	49.6	185.8	6.2	33.5	3.7
تنشيف	78	غداء	أرز بسمتي - غداء - تنشيف مرحلة 78	أرز بسمتي	185.8	669.1	11.2	148.7	1.9
تنشيف	78	عشاء	سلطة خضراء - عشاء - تنشيف مرحلة 78	سلطة خضراء	123.9	24.8	1.2	5	0
تنشيف	78	وجبة إضافية	مكسرات (لوز) - وجبة إضافية - تنشيف مرحلة 78	مكسرات (لوز)	37.2	215.6	7.4	7.4	18.6
تنشيف	79	فطار	بيض مسلوق - فطار - تنشيف مرحلة 79	بيض مسلوق	124.6	193.1	16.2	1.4	13.7
تنشيف	79	غداء	صدر دجاج مشوي - غداء - تنشيف مرحلة 79	صدر دجاج مشوي	186.9	307.8	57.3	0	6.2
تنشيف	79	عشاء	سمك مشوي - عشاء - تنشيف مرحلة 79	سمك مشوي	186.9	289.1	31.1	0	17.4
تنشيف	79	وجبة إضافية	لبن زبادي قليل الدسم - وجبة إضافية - تنشيف مرحلة 79	لبن زبادي قليل الدسم	249.2	124.6	12.5	15	0.6
تنشيف	80	فطار	شوفان - فطار - تنشيف مرحلة 80	شوفان	50.1	187.9	6.3	33.8	3.8
تنشيف	80	غداء	أرز بسمتي - غداء - تنشيف مرحلة 80	أرز بسمتي	187.9	676.6	11.3	150.4	1.9
تنشيف	80	عشاء	سلطة خضراء - عشاء - تنشيف مرحلة 80	سلطة خضراء	125.3	25.1	1.3	5	0
تنشيف	80	وجبة إضافية	مكسرات (لوز) - وجبة إضافية - تنشيف مرحلة 80	مكسرات (لوز)	37.6	218	7.5	7.5	18.8
تنشيف	81	فطار	بيض مسلوق - فطار - تنشيف مرحلة 81	بيض مسلوق	126	195.3	16.4	1.4	13.9
تنشيف	81	غداء	صدر دجاج مشوي - غداء - تنشيف مرحلة 81	صدر دجاج مشوي	189	311.2	58	0	6.3
تنشيف	81	عشاء	سمك مشوي - عشاء - تنشيف مرحلة 81	سمك مشوي	189	292.3	31.5	0	17.6
تنشيف	81	وجبة إضافية	لبن زبادي قليل الدسم - وجبة إضافية - تنشيف مرحلة 81	لبن زبادي قليل الدسم	252	126	12.6	15.1	0.6
تنشيف	82	فطار	شوفان - فطار - تنشيف مرحلة 82	شوفان	50.7	190	6.3	34.2	3.8
تنشيف	82	غداء	أرز بسمتي - غداء - تنشيف مرحلة 82	أرز بسمتي	190	684.2	11.4	152	1.9
تنشيف	82	عشاء	سلطة خضراء - عشاء - تنشيف مرحلة 82	سلطة خضراء	126.7	25.3	1.3	5.1	0
تنشيف	82	وجبة إضافية	مكسرات (لوز) - وجبة إضافية - تنشيف مرحلة 82	مكسرات (لوز)	38	220.5	7.6	7.6	19
تنشيف	83	فطار	بيض مسلوق - فطار - تنشيف مرحلة 83	بيض مسلوق	127.4	197.5	16.6	1.4	14
تنشيف	83	غداء	صدر دجاج مشوي - غداء - تنشيف مرحلة 83	صدر دجاج مشوي	191.1	314.7	58.6	0	6.4
تنشيف	83	عشاء	سمك مشوي - عشاء - تنشيف مرحلة 83	سمك مشوي	191.1	295.6	31.9	0	17.8
تنشيف	83	وجبة إضافية	لبن زبادي قليل الدسم - وجبة إضافية - تنشيف مرحلة 83	لبن زبادي قليل الدسم	254.8	127.4	12.7	15.3	0.6
تنشيف	84	فطار	شوفان - فطار - تنشيف مرحلة 84	شوفان	51.2	192.1	6.4	34.6	3.8
تنشيف	84	غداء	أرز بسمتي - غداء - تنشيف مرحلة 84	أرز بسمتي	192.1	691.7	11.5	153.7	1.9
تنشيف	84	عشاء	سلطة خضراء - عشاء - تنشيف مرحلة 84	سلطة خضراء	128.1	25.6	1.3	5.1	0
تنشيف	84	وجبة إضافية	مكسرات (لوز) - وجبة إضافية - تنشيف مرحلة 84	مكسرات (لوز)	38.4	222.9	7.7	7.7	19.2
تنشيف	85	فطار	بيض مسلوق - فطار - تنشيف مرحلة 85	بيض مسلوق	128.8	199.6	16.7	1.4	14.2
تنشيف	85	غداء	صدر دجاج مشوي - غداء - تنشيف مرحلة 85	صدر دجاج مشوي	193.2	318.1	59.2	0	6.4
تنشيف	85	عشاء	سمك مشوي - عشاء - تنشيف مرحلة 85	سمك مشوي	193.2	298.8	32.2	0	18
تنشيف	85	وجبة إضافية	لبن زبادي قليل الدسم - وجبة إضافية - تنشيف مرحلة 85	لبن زبادي قليل الدسم	257.6	128.8	12.9	15.5	0.6
تنشيف	86	فطار	شوفان - فطار - تنشيف مرحلة 86	شوفان	51.8	194.2	6.5	35	3.9
تنشيف	86	غداء	أرز بسمتي - غداء - تنشيف مرحلة 86	أرز بسمتي	194.2	699.3	11.7	155.4	1.9
تنشيف	86	عشاء	سلطة خضراء - عشاء - تنشيف مرحلة 86	سلطة خضراء	129.5	25.9	1.3	5.2	0
تنشيف	86	وجبة إضافية	مكسرات (لوز) - وجبة إضافية - تنشيف مرحلة 86	مكسرات (لوز)	38.8	225.3	7.8	7.8	19.4
تنشيف	87	فطار	بيض مسلوق - فطار - تنشيف مرحلة 87	بيض مسلوق	130.2	201.8	16.9	1.4	14.3
تنشيف	87	غداء	صدر دجاج مشوي - غداء - تنشيف مرحلة 87	صدر دجاج مشوي	195.3	321.6	59.9	0	6.5
تنشيف	87	عشاء	سمك مشوي - عشاء - تنشيف مرحلة 87	سمك مشوي	195.3	302.1	32.5	0	18.2
تنشيف	87	وجبة إضافية	لبن زبادي قليل الدسم - وجبة إضافية - تنشيف مرحلة 87	لبن زبادي قليل الدسم	260.4	130.2	13	15.6	0.7
تنشيف	88	فطار	شوفان - فطار - تنشيف مرحلة 88	شوفان	52.4	196.3	6.5	35.3	3.9
تنشيف	88	غداء	أرز بسمتي - غداء - تنشيف مرحلة 88	أرز بسمتي	196.3	706.9	11.8	157.1	2
تنشيف	88	عشاء	سلطة خضراء - عشاء - تنشيف مرحلة 88	سلطة خضراء	130.9	26.2	1.3	5.2	0
تنشيف	88	وجبة إضافية	مكسرات (لوز) - وجبة إضافية - تنشيف مرحلة 88	مكسرات (لوز)	39.3	227.8	7.9	7.9	19.6
تنشيف	89	فطار	بيض مسلوق - فطار - تنشيف مرحلة 89	بيض مسلوق	131.6	204	17.1	1.4	14.5
تنشيف	89	غداء	صدر دجاج مشوي - غداء - تنشيف مرحلة 89	صدر دجاج مشوي	197.4	325.1	60.5	0	6.6
تنشيف	89	عشاء	سمك مشوي - عشاء - تنشيف مرحلة 89	سمك مشوي	197.4	305.3	32.9	0	18.4
تنشيف	89	وجبة إضافية	لبن زبادي قليل الدسم - وجبة إضافية - تنشيف مرحلة 89	لبن زبادي قليل الدسم	263.2	131.6	13.2	15.8	0.7
تنشيف	90	فطار	شوفان - فطار - تنشيف مرحلة 90	شوفان	52.9	198.4	6.6	35.7	4
تنشيف	90	غداء	أرز بسمتي - غداء - تنشيف مرحلة 90	أرز بسمتي	198.4	714.4	11.9	158.8	2
تنشيف	90	عشاء	سلطة خضراء - عشاء - تنشيف مرحلة 90	سلطة خضراء	132.3	26.5	1.3	5.3	0
تنشيف	90	وجبة إضافية	مكسرات (لوز) - وجبة إضافية - تنشيف مرحلة 90	مكسرات (لوز)	39.7	230.2	7.9	7.9	19.8
تنشيف	91	فطار	بيض مسلوق - فطار - تنشيف مرحلة 91	بيض مسلوق	133	206.1	17.3	1.5	14.6
تنشيف	91	غداء	صدر دجاج مشوي - غداء - تنشيف مرحلة 91	صدر دجاج مشوي	199.5	328.5	61.2	0	6.6
تنشيف	91	عشاء	سمك مشوي - عشاء - تنشيف مرحلة 91	سمك مشوي	199.5	308.6	33.2	0	18.6
تنشيف	91	وجبة إضافية	لبن زبادي قليل الدسم - وجبة إضافية - تنشيف مرحلة 91	لبن زبادي قليل الدسم	266	133	13.3	16	0.7
تنشيف	92	فطار	شوفان - فطار - تنشيف مرحلة 92	شوفان	53.5	200.5	6.7	36.1	4
تنشيف	92	غداء	أرز بسمتي - غداء - تنشيف مرحلة 92	أرز بسمتي	200.5	722	12	160.4	2
تنشيف	92	عشاء	سلطة خضراء - عشاء - تنشيف مرحلة 92	سلطة خضراء	133.7	26.7	1.3	5.3	0
تنشيف	92	وجبة إضافية	مكسرات (لوز) - وجبة إضافية - تنشيف مرحلة 92	مكسرات (لوز)	40.1	232.6	8	8	20.1
تنشيف	93	فطار	بيض مسلوق - فطار - تنشيف مرحلة 93	بيض مسلوق	134.4	208.3	17.5	1.5	14.8
تنشيف	93	غداء	صدر دجاج مشوي - غداء - تنشيف مرحلة 93	صدر دجاج مشوي	201.6	332	61.8	0	6.7
تنشيف	93	عشاء	سمك مشوي - عشاء - تنشيف مرحلة 93	سمك مشوي	201.6	311.8	33.6	0	18.8
تنشيف	93	وجبة إضافية	لبن زبادي قليل الدسم - وجبة إضافية - تنشيف مرحلة 93	لبن زبادي قليل الدسم	268.8	134.4	13.4	16.1	0.7
تنشيف	94	فطار	شوفان - فطار - تنشيف مرحلة 94	شوفان	54	202.7	6.8	36.5	4.1
تنشيف	94	غداء	أرز بسمتي - غداء - تنشيف مرحلة 94	أرز بسمتي	202.7	729.5	12.2	162.1	2
تنشيف	94	عشاء	سلطة خضراء - عشاء - تنشيف مرحلة 94	سلطة خضراء	135.1	27	1.4	5.4	0
تنشيف	94	وجبة إضافية	مكسرات (لوز) - وجبة إضافية - تنشيف مرحلة 94	مكسرات (لوز)	40.5	235.1	8.1	8.1	20.3
تنشيف	95	فطار	بيض مسلوق - فطار - تنشيف مرحلة 95	بيض مسلوق	135.8	210.5	17.7	1.5	14.9
تنشيف	95	غداء	صدر دجاج مشوي - غداء - تنشيف مرحلة 95	صدر دجاج مشوي	203.7	335.4	62.5	0	6.8
تنشيف	95	عشاء	سمك مشوي - عشاء - تنشيف مرحلة 95	سمك مشوي	203.7	315.1	33.9	0	19
تنشيف	95	وجبة إضافية	لبن زبادي قليل الدسم - وجبة إضافية - تنشيف مرحلة 95	لبن زبادي قليل الدسم	271.6	135.8	13.6	16.3	0.7
تنشيف	96	فطار	شوفان - فطار - تنشيف مرحلة 96	شوفان	54.6	204.8	6.8	36.9	4.1
تنشيف	96	غداء	أرز بسمتي - غداء - تنشيف مرحلة 96	أرز بسمتي	204.8	737.1	12.3	163.8	2
تنشيف	96	عشاء	سلطة خضراء - عشاء - تنشيف مرحلة 96	سلطة خضراء	136.5	27.3	1.4	5.5	0
تنشيف	96	وجبة إضافية	مكسرات (لوز) - وجبة إضافية - تنشيف مرحلة 96	مكسرات (لوز)	41	237.5	8.2	8.2	20.5
تنشيف	97	فطار	بيض مسلوق - فطار - تنشيف مرحلة 97	بيض مسلوق	137.2	212.7	17.8	1.5	15.1
تنشيف	97	غداء	صدر دجاج مشوي - غداء - تنشيف مرحلة 97	صدر دجاج مشوي	205.8	338.9	63.1	0	6.9
تنشيف	97	عشاء	سمك مشوي - عشاء - تنشيف مرحلة 97	سمك مشوي	205.8	318.3	34.3	0	19.2
تنشيف	97	وجبة إضافية	لبن زبادي قليل الدسم - وجبة إضافية - تنشيف مرحلة 97	لبن زبادي قليل الدسم	274.4	137.2	13.7	16.5	0.7
تنشيف	98	فطار	شوفان - فطار - تنشيف مرحلة 98	شوفان	55.2	206.8	6.9	37.2	4.1
تنشيف	98	غداء	أرز بسمتي - غداء - تنشيف مرحلة 98	أرز بسمتي	206.8	744.7	12.4	165.5	2.1
تنشيف	98	عشاء	سلطة خضراء - عشاء - تنشيف مرحلة 98	سلطة خضراء	137.9	27.6	1.4	5.5	0
تنشيف	98	وجبة إضافية	مكسرات (لوز) - وجبة إضافية - تنشيف مرحلة 98	مكسرات (لوز)	41.4	239.9	8.3	8.3	20.7
تنشيف	99	فطار	بيض مسلوق - فطار - تنشيف مرحلة 99	بيض مسلوق	138.6	214.8	18	1.5	15.2
تنشيف	99	غداء	صدر دجاج مشوي - غداء - تنشيف مرحلة 99	صدر دجاج مشوي	207.9	342.3	63.8	0	6.9
تنشيف	99	عشاء	سمك مشوي - عشاء - تنشيف مرحلة 99	سمك مشوي	207.9	321.6	34.6	0	19.4
